,Precio Total (EUR),Aerolínea,Origen,Destino,Salida,Llegada,Duración
21,2626.65,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT7H35M
22,2626.65,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT7H35M
23,2630.60,LH,BER,MUC,2024-11-01T06:15:00,2024-11-01T07:25:00,PT5H5M
24,2630.60,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT4H35M
25,2630.60,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT4H35M
26,2630.60,SN,BER,BRU,2024-11-01T11:55:00,2024-11-01T13:20:00,PT4H50M
27,2630.60,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT4H35M
28,2630.60,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT7H35M
29,2630.60,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT7H35M
30,2630.60,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT7H35M
31,2632.00,LH,BER,MUC,2024-11-01T06:15:00,2024-11-01T07:25:00,PT5H5M
32,2632.00,LH,BER,MUC,2024-11-01T12:55:00,2024-11-01T14:05:00,PT4H50M
33,2632.00,LH,BER,MUC,2024-11-01T06:15:00,2024-11-01T07:25:00,PT5H5M
34,2632.00,LH,BER,MUC,2024-11-01T06:15:00,2024-11-01T07:25:00,PT5H5M
35,2632.00,LH,BER,MUC,2024-11-01T11:00:00,2024-11-01T12:10:00,PT6H45M
36,2633.05,LH,BER,MUC,2024-11-01T06:15:00,2024-11-01T07:25:00,PT5H5M
37,2633.05,LH,BER,MUC,2024-11-01T06:15:00,2024-11-01T07:25:00,PT5H5M
38,2668.25,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT4H35M
39,2668.25,SN,BER,BRU,2024-11-01T11:55:00,2024-11-01T13:20:00,PT4H50M
40,2668.25,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT7H35M
41,2669.65,LH,BER,FRA,2024-11-01T06:25:00,2024-11-01T07:40:00,PT3H5M
42,2669.65,LH,BER,FRA,2024-11-01T07:40:00,2024-11-01T08:55:00,PT3H20M
43,2669.65,LH,BER,FRA,2024-11-01T06:25:00,2024-11-01T07:40:00,PT3H5M
44,2669.65,LH,BER,FRA,2024-11-01T07:10:00,2024-11-01T08:25:00,PT3H50M
45,2669.65,LH,BER,FRA,2024-11-01T06:25:00,2024-11-01T07:40:00,PT4H35M
46,2669.65,LH,BER,FRA,2024-11-01T07:40:00,2024-11-01T08:55:00,PT5H5M
47,2669.65,LH,BER,FRA,2024-11-01T07:10:00,2024-11-01T08:25:00,PT5H35M
48,2669.65,LH,BER,FRA,2024-11-01T06:25:00,2024-11-01T07:40:00,PT3H5M
49,2669.65,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT4H35M
50,2669.65,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT4H35M
51,2669.65,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT7H35M
52,2669.65,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT7H35M
53,2669.65,LH,BER,MUC,2024-11-01T12:55:00,2024-11-01T14:05:00,PT4H50M
54,2669.65,LH,BER,MUC,2024-11-01T06:15:00,2024-11-01T07:25:00,PT5H5M
55,2669.65,LH,BER,MUC,2024-11-01T11:00:00,2024-11-01T12:10:00,PT6H45M
56,2670.60,AF,BER,CDG,2024-11-01T06:55:00,2024-11-01T08:50:00,PT8H30M
57,2671.05,LH,BER,FRA,2024-11-01T06:25:00,2024-11-01T07:40:00,PT3H5M
58,2671.05,LH,BER,FRA,2024-11-01T06:25:00,2024-11-01T07:40:00,PT3H5M
59,2671.05,LH,BER,FRA,2024-11-01T06:25:00,2024-11-01T07:40:00,PT3H5M
60,2671.05,LH,BER,FRA,2024-11-01T07:40:00,2024-11-01T08:55:00,PT3H20M
61,2671.05,LH,BER,FRA,2024-11-01T06:25:00,2024-11-01T07:40:00,PT3H5M
62,2671.05,LH,BER,FRA,2024-11-01T07:40:00,2024-11-01T08:55:00,PT3H20M
63,2671.05,LH,BER,FRA,2024-11-01T07:10:00,2024-11-01T08:25:00,PT3H50M
64,2671.05,LH,BER,FRA,2024-11-01T07:10:00,2024-11-01T08:25:00,PT3H50M
65,2671.05,LH,BER,FRA,2024-11-01T06:25:00,2024-11-01T07:40:00,PT4H35M
66,2671.05,LH,BER,FRA,2024-11-01T06:25:00,2024-11-01T07:40:00,PT4H35M
67,2671.05,LH,BER,FRA,2024-11-01T06:25:00,2024-11-01T07:40:00,PT3H5M
68,2671.05,LH,BER,FRA,2024-11-01T07:40:00,2024-11-01T08:55:00,PT5H5M
69,2671.05,LH,BER,FRA,2024-11-01T07:40:00,2024-11-01T08:55:00,PT3H20M
70,2671.05,LH,BER,FRA,2024-11-01T10:40:00,2024-11-01T11:55:00,PT5H20M
71,2671.05,LH,BER,FRA,2024-11-01T07:40:00,2024-11-01T08:55:00,PT5H5M
72,2671.05,LH,BER,FRA,2024-11-01T07:10:00,2024-11-01T08:25:00,PT5H35M
73,2671.05,LH,BER,FRA,2024-11-01T10:40:00,2024-11-01T11:55:00,PT5H20M
74,2671.05,LH,BER,FRA,2024-11-01T12:40:00,2024-11-01T13:55:00,PT5H20M
75,2671.05,LH,BER,FRA,2024-11-01T07:10:00,2024-11-01T08:25:00,PT3H50M
76,2671.05,LH,BER,FRA,2024-11-01T07:10:00,2024-11-01T08:25:00,PT5H35M
77,2671.05,LH,BER,FRA,2024-11-01T09:40:00,2024-11-01T10:55:00,PT6H20M
78,2671.05,LH,BER,FRA,2024-11-01T06:25:00,2024-11-01T07:40:00,PT4H35M
79,2671.05,LH,BER,FRA,2024-11-01T09:40:00,2024-11-01T10:55:00,PT6H20M
80,2671.05,LH,BER,FRA,2024-11-01T11:40:00,2024-11-01T12:55:00,PT6H20M
81,2671.05,LH,BER,FRA,2024-11-01T07:40:00,2024-11-01T08:55:00,PT5H5M
82,2671.05,LH,BER,FRA,2024-11-01T10:40:00,2024-11-01T11:55:00,PT5H20M
83,2671.05,LH,BER,FRA,2024-11-01T07:10:00,2024-11-01T08:25:00,PT5H35M
84,2671.05,LH,BER,FRA,2024-11-01T09:40:00,2024-11-01T10:55:00,PT6H20M
85,2671.05,LH,BER,MUC,2024-11-01T06:15:00,2024-11-01T07:25:00,PT5H5M
86,2671.05,LH,BER,MUC,2024-11-01T06:15:00,2024-11-01T07:25:00,PT5H5M
87,2671.05,LH,BER,MUC,2024-11-01T06:15:00,2024-11-01T07:25:00,PT5H5M
88,2671.05,LH,BER,MUC,2024-11-01T06:15:00,2024-11-01T07:25:00,PT5H5M
